"","triToken","Ranking"
"862","when i see",1154
"863","when i need",1154
"864","when i get",1154
"865","whats going on",1154
"866","what they are",1154
"867","what kind of",1154
"868","what i thought",1154
"869","what i needed",1154
"870","what i love",1154
"871","what are the",1154
"872","were not going",1154
"873","were going to",1154
"874","well that was",1154
"875","well i guess",1154
"876","we need a",1154
"877","we have the",1154
"878","we cant wait",1154
"879","way to start",1154
"880","watching a movie",1154
"881","was very excited",1154
"882","was the best",1154
"883","was so much",1154
"884","was so good",1154
"885","was a nice",1154
"886","was a kid",1154
"887","was a huge",1154
"888","was a good",1154
"889","wants to be",1154
"890","wanted to say",1154
"891","wanted to know",1154
"892","want to try",1154
"893","want to get",1154
"894","wait to hear",1154
"895","wait to be",1154
"896","wait for this",1154
"897","us on facebook",1154
"898","us in a",1154
"899","up with the",1154
"900","up with me",1154
"901","up on the",1154
"902","up in my",1154
"903","up im so",1154
"904","up for the",1154
"905","up and running",1154
"906","until you get",1154
"907","twice in one",1154
"908","trying to tell",1154
"909","try to make",1154
"910","true thanks for",1154
"911","top of the",1154
"912","too short to",1154
"913","too bad i",1154
"914","tomorrow will be",1154
"915","tomorrow night at",1154
"916","today at the",1154
"917","today and get",1154
"918","to you and",1154
"919","to work for",1154
"920","to watch the",1154
"921","to watch some",1154
"922","to think about",1154
"923","to the new",1154
"924","to the game",1154
"925","to tell you",1154
"926","to take advantage",1154
"927","to see a",1154
"928","to rock the",1154
"929","to my stomach",1154
"930","to my house",1154
"931","to make some",1154
"932","to know if",1154
"933","to know how",1154
"934","to introduce myself",1154
"935","to hurry up",1154
"936","to help with",1154
"937","to go see",1154
"938","to go around",1154
"939","to get this",1154
"940","to get some",1154
"941","to get off",1154
"942","to get laid",1154
"943","to get into",1154
"944","to finish this",1154
"945","to figure out",1154
"946","to do with",1154
"947","to connect and",1154
"948","to come back",1154
"949","to be so",1154
"950","to be one",1154
"951","to be on",1154
"952","to be my",1154
"953","to be loved",1154
"954","to be i",1154
"955","to be happy",1154
"956","to and for",1154
"957","to all of",1154
"958","time to be",1154
"959","time for the",1154
"960","time for a",1154
"961","thx for the",1154
"962","this year i",1154
"963","this will be",1154
"964","this morning i",1154
"965","this morning at",1154
"966","this morning and",1154
"967","this is your",1154
"968","this is what",1154
"969","this is very",1154
"970","this is the",1154
"971","this is how",1154
"972","this is crazy",1154
"973","this has been",1154
"974","thinking about you",1154
"975","think i have",1154
